id,sku,name,type,short_description,price,discount,discount_rate,rating_average,review_count,review_text,favourite_count,inventory_status,inventory_type,is_fresh,day_ago_created,all_time_quantity_sold,current_seller,price_comparison,stock_item,quantity_sold,categories,is_tier_pricing_available,is_tier_pricing_eligible,return_policy
174444163,8940996830246,"Dear, Darling",simple,"“Dear, darlingNếu tình yêu có hạn sử dụng,Em mong là dùng được trăm năm.”Quay trở lại sau 2 năm vắng bóng, “Dear darling” của Hiên gửi tặng bạn những lời thủ thỉ rất đỗi dịu dàng, rất đỗi ngọt ngào...",55440,32560,37,4.8,890,(890),0,available,instock,False,786,6161,"{'id': 1, 'sku': '6959903895942', 'name': 'Tiki Trading', 'link': 'https://tiki.vn/cua-hang/tiki-trading', 'logo': '21/ce/5c/b52d0b8576680dc3666474ae31b091ec.jpg', 'price': 55440, 'product_id': '174444165', 'store_id': 40395, 'is_best_store': False, 'is_offline_installment_supported': None}","{'sub_title': 'Giá từ 64.500 ₫', 'title': 'So sánh 11 nhà bán khác'}","{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 5000+', 'value': 6161}","{'id': 68000, 'name': 'Truyện ngắn - Tản văn - Tạp Văn Việt Nam', 'is_leaf': True}",False,False,"{'body': [{'label': 'Trong 30 ngày khi bạn đổi ý hoặc sản phẩm không đúng cam kết:', 'content': ['Sản phẩm phải còn nguyên hộp, bao bì, phiếu bảo hành, tem, mác, phụ kiện và quà tặng kèm (nếu có).', 'Đặc biệt, trong trường hợp bạn đổi ý hoặc sản phẩm bị giao sai: Sản phẩm phải chưa qua sử dụng, chưa kích hoạt, còn nguyên bao bì, nhãn mác, niêm phong (nếu có), và sản phẩm không mua bằng hình thức trả góp.']}], 'cta': {'link': 'https://hotro.tiki.vn/s/article/chinh-sach-doi-tra-san-pham', 'text_button': 'Tìm hiểu thêm'}, 'title': 'Đổi trả miễn phí'}"
207256575,1888647655871,Định luật Murphy – Mọi bí mật tâm lý thao túng cuộc đời bạn,simple,"Nếu một điều tồi tệ có thể xảy ra, nó sẽ xảy ra!Khi một món đồ quan trọng bị rơi, nó có xu hướng lăn tới dưới ngăn tủ nặng nhất.Khi hai tay bạn cầm đầy đồ đạc, mũi bạn bắt đầu ngứa.Khi bạn sợ gặp m...",74970,44030,37,4.8,501,(501),0,available,instock,False,559,6330,"{'id': 1, 'sku': '7836369564273', 'name': 'Tiki Trading', 'link': 'https://tiki.vn/cua-hang/tiki-trading', 'logo': '21/ce/5c/b52d0b8576680dc3666474ae31b091ec.jpg', 'price': 74970, 'product_id': '207256576', 'store_id': 40395, 'is_best_store': False, 'is_offline_installment_supported': None}","{'sub_title': 'Giá từ 92.500 ₫', 'title': 'So sánh 9 nhà bán khác'}","{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 5000+', 'value': 6330}","{'id': 886, 'name': 'Lĩnh vực khác', 'is_leaf': True}",False,False,"{'body': [{'label': 'Trong 30 ngày khi bạn đổi ý hoặc sản phẩm không đúng cam kết:', 'content': ['Sản phẩm phải còn nguyên hộp, bao bì, phiếu bảo hành, tem, mác, phụ kiện và quà tặng kèm (nếu có).', 'Đặc biệt, trong trường hợp bạn đổi ý hoặc sản phẩm bị giao sai: Sản phẩm phải chưa qua sử dụng, chưa kích hoạt, còn nguyên bao bì, nhãn mác, niêm phong (nếu có), và sản phẩm không mua bằng hình thức trả góp.']}], 'cta': {'link': 'https://hotro.tiki.vn/s/article/chinh-sach-doi-tra-san-pham', 'text_button': 'Tìm hiểu thêm'}, 'title': 'Đổi trả miễn phí'}"
207968695,1336876385584,Chủ nghĩa Tư bản và Tự do – Capitalism and Freedom,simple,"Chủ nghĩa Tư bản và Tự do – Capitalism and FreedomCuốn sách này tập hợp một loạt các bài giảng của Milton Friedman – nhà kinh tế ""có ảnh hưởng lớn nhất nửa sau thế kỷ 20"" (theo The Economist); được p...",150000,50000,25,4.8,81,(81),0,available,instock,False,551,804,"{'id': 1, 'sku': '7449724392846', 'name': 'Tiki Trading', 'link': 'https://tiki.vn/cua-hang/tiki-trading', 'logo': '21/ce/5c/b52d0b8576680dc3666474ae31b091ec.jpg', 'price': 150000, 'product_id': '207968696', 'store_id': 40395, 'is_best_store': False, 'is_offline_installment_supported': None}","{'sub_title': 'Giá từ 180.000 ₫', 'title': 'So sánh 5 nhà bán khác'}","{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 804', 'value': 804}","{'id': 5246, 'name': 'Sách tài chính - khác', 'is_leaf': True}",False,False,"{'body': [{'label': 'Trong 30 ngày khi bạn đổi ý hoặc sản phẩm không đúng cam kết:', 'content': ['Sản phẩm phải còn nguyên hộp, bao bì, phiếu bảo hành, tem, mác, phụ kiện và quà tặng kèm (nếu có).', 'Đặc biệt, trong trường hợp bạn đổi ý hoặc sản phẩm bị giao sai: Sản phẩm phải chưa qua sử dụng, chưa kích hoạt, còn nguyên bao bì, nhãn mác, niêm phong (nếu có), và sản phẩm không mua bằng hình thức trả góp.']}], 'cta': {'link': 'https://hotro.tiki.vn/s/article/chinh-sach-doi-tra-san-pham', 'text_button': 'Tìm hiểu thêm'}, 'title': 'Đổi trả miễn phí'}"
249157126,2348826224854,Đứa Trẻ Hiểu Chuyện Thường Không Có Kẹo Ăn,simple,"“Đứa trẻ hiểu chuyện thường không có kẹo ăn” – Cuốn sách dành cho những thời thơ ấu đầy vết thương.Trên đời này có một điều rất kỳ diệu, đó là bậc phụ huynh nào cũng mong muốn con mình trở nên hoàn h...",98900,49100,33,5.0,121,(121),0,available,instock,False,434,1506,"{'id': 1, 'sku': '9656774504659', 'name': 'Tiki Trading', 'link': 'https://tiki.vn/cua-hang/tiki-trading', 'logo': '21/ce/5c/b52d0b8576680dc3666474ae31b091ec.jpg', 'price': 98900, 'product_id': '249157127', 'store_id': 40395, 'is_best_store': False, 'is_offline_installment_supported': None}","{'sub_title': 'Giá từ 117.800 ₫', 'title': 'So sánh 7 nhà bán khác'}","{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 1506', 'value': 1506}","{'id': 886, 'name': 'Lĩnh vực khác', 'is_leaf': True}",False,False,"{'body': [{'label': 'Trong 30 ngày khi bạn đổi ý hoặc sản phẩm không đúng cam kết:', 'content': ['Sản phẩm phải còn nguyên hộp, bao bì, phiếu bảo hành, tem, mác, phụ kiện và quà tặng kèm (nếu có).', 'Đặc biệt, trong trường hợp bạn đổi ý hoặc sản phẩm bị giao sai: Sản phẩm phải chưa qua sử dụng, chưa kích hoạt, còn nguyên bao bì, nhãn mác, niêm phong (nếu có), và sản phẩm không mua bằng hình thức trả góp.']}], 'cta': {'link': 'https://hotro.tiki.vn/s/article/chinh-sach-doi-tra-san-pham', 'text_button': 'Tìm hiểu thêm'}, 'title': 'Đổi trả miễn phí'}"
204078065,8998273587192,Thuật Thao Túng - Góc Tối Ẩn Sau Mỗi Câu Nói,simple,Bạn có muốn giành phần thắng cuối cùng trong các cuộc tranh luận?Bạn có muốn dẹp đi bộ mặt kiêu ngạo của các đồng nghiệp xung quanh mình?Bạn có muốn chứng minh rằng bạn đã đúng về mọi thứ?Đây là qu...,111000,28000,20,0.0,0,Chưa có đánh giá,0,available,backorder,False,581,1,"{'id': 145814, 'sku': '9634169557781', 'name': 'Omega Plus Books', 'link': 'https://tiki.vn/cua-hang/omega-plus-books', 'logo': 'https://vcdn.tikicdn.com/ts/seller/8b/17/0b/9e986158bc230b4fd699f07095893546.jpg', 'price': 111000, 'product_id': '208121972', 'store_id': 134535, 'is_best_store': False, 'is_offline_installment_supported': None}","{'sub_title': 'Giá từ 88.900 ₫', 'title': 'So sánh 13 nhà bán khác'}","{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 1', 'value': 1}","{'id': 886, 'name': 'Lĩnh vực khác', 'is_leaf': True}",False,False,"{'body': [{'label': 'Trong 30 ngày khi bạn đổi ý hoặc sản phẩm không đúng cam kết:', 'content': ['Sản phẩm phải còn nguyên hộp, bao bì, phiếu bảo hành, tem, mác, phụ kiện và quà tặng kèm (nếu có).', 'Đặc biệt, trong trường hợp bạn đổi ý hoặc sản phẩm bị giao sai: Sản phẩm phải chưa qua sử dụng, chưa kích hoạt, còn nguyên bao bì, nhãn mác, niêm phong (nếu có), và sản phẩm không mua bằng hình thức trả góp.']}], 'cta': {'link': 'https://hotro.tiki.vn/s/article/chinh-sach-doi-tra-san-pham', 'text_button': 'Tìm hiểu thêm'}, 'title': 'Đổi trả miễn phí'}"
74021317,5977911599303,Cây Cam Ngọt Của Tôi,simple,“Vị chua chát của cái nghèo hòa trộn với vị ngọt ngào khi khám phá ra những điều khiến cuộc đời này đáng số một tác phẩm kinh điển của Brazil.”- Booklist“Một cách nhìn cuộc sống gần như hoàn chỉnh t...,75600,32400,30,5.0,632,(632),0,available,backorder,False,1270,4719,"{'id': 53660, 'sku': '9472871563136', 'name': 'Nhà sách Fahasa', 'link': 'https://tiki.vn/cua-hang/nha-sach-fahasa', 'logo': '6e/22/e8/d93176a20c412291b6ce538508af25c2.jpg', 'price': 75600, 'product_id': '74677933', 'store_id': 51001, 'is_best_store': False, 'is_offline_installment_supported': None}","{'sub_title': 'Giá từ 75.500 ₫', 'title': 'So sánh 30 nhà bán khác'}","{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 4719', 'value': 4719}","{'id': 316, 'name': 'Sách tiếng Việt', 'is_leaf': False}",False,False,"{'body': [{'label': 'Trong 30 ngày khi bạn đổi ý hoặc sản phẩm không đúng cam kết:', 'content': ['Sản phẩm phải còn nguyên hộp, bao bì, phiếu bảo hành, tem, mác, phụ kiện và quà tặng kèm (nếu có).', 'Đặc biệt, trong trường hợp bạn đổi ý hoặc sản phẩm bị giao sai: Sản phẩm phải chưa qua sử dụng, chưa kích hoạt, còn nguyên bao bì, nhãn mác, niêm phong (nếu có), và sản phẩm không mua bằng hình thức trả góp.']}], 'cta': {'link': 'https://hotro.tiki.vn/s/article/chinh-sach-doi-tra-san-pham', 'text_button': 'Tìm hiểu thêm'}, 'title': 'Đổi trả miễn phí'}"
188940817,8460723711989,Vị Thần Của Những Quyết Định,configurable,"Không có gì là ngẫu nhiên. Mọi chuyện đều là tất nhiên. Một cuốn sách tâm linh giúp bạn giải quyết những vấn đề trong cuộc sống, công việc, tình cảm… Nếu bạn đang phân vân trước những lựa chọn, nếu bạ...",49770,29230,37,4.8,1162,(1162),0,available,instock,False,707,10024,"{'id': 1, 'sku': '4862841472489', 'name': 'Tiki Trading', 'link': 'https://tiki.vn/cua-hang/tiki-trading', 'logo': '21/ce/5c/b52d0b8576680dc3666474ae31b091ec.jpg', 'price': 49770, 'product_id': '188940819', 'store_id': 40395, 'is_best_store': False, 'is_offline_installment_supported': None}","{'sub_title': 'Giá từ 63.000 ₫', 'title': 'So sánh 4 nhà bán khác'}","{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 5000+', 'value': 10024}","{'id': 67888, 'name': 'Sách chiêm tinh - horoscope - khác', 'is_leaf': True}",False,False,"{'body': [{'label': 'Trong 30 ngày khi bạn đổi ý hoặc sản phẩm không đúng cam kết:', 'content': ['Sản phẩm phải còn nguyên hộp, bao bì, phiếu bảo hành, tem, mác, phụ kiện và quà tặng kèm (nếu có).', 'Đặc biệt, trong trường hợp bạn đổi ý hoặc sản phẩm bị giao sai: Sản phẩm phải chưa qua sử dụng, chưa kích hoạt, còn nguyên bao bì, nhãn mác, niêm phong (nếu có), và sản phẩm không mua bằng hình thức trả góp.']}], 'cta': {'link': 'https://hotro.tiki.vn/s/article/chinh-sach-doi-tra-san-pham', 'text_button': 'Tìm hiểu thêm'}, 'title': 'Đổi trả miễn phí'}"
189643105,7150413107642,Không Phải Sói Nhưng Cũng Đừng Là Cừu -Tặng kèm bookmark 2 mặt,simple,"SÓI VÀ CỪU - BẠN KHÔNG TỐT NHƯ BẠN NGHĨ ĐÂU! Làn ranh của việc ngây thơ hay xấu xa đôi khi mỏng manh hơn bạn nghĩ. Bạn làm một việc mà mình cho là đúng, kết quả lại bị mọi người khiển trách. Bạn ủn...",83200,44800,35,4.8,1434,(1434),0,available,instock,False,702,13190,"{'id': 1, 'sku': '3283620562802', 'name': 'Tiki Trading', 'link': 'https://tiki.vn/cua-hang/tiki-trading', 'logo': '21/ce/5c/b52d0b8576680dc3666474ae31b091ec.jpg', 'price': 83200, 'product_id': '189643110', 'store_id': 40395, 'is_best_store': False, 'is_offline_installment_supported': None}","{'sub_title': 'Giá từ 96.000 ₫', 'title': 'So sánh 12 nhà bán khác'}","{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 5000+', 'value': 13190}","{'id': 871, 'name': 'Sách tư duy - Kỹ năng sống', 'is_leaf': True}",False,False,"{'body': [{'label': 'Trong 30 ngày khi bạn đổi ý hoặc sản phẩm không đúng cam kết:', 'content': ['Sản phẩm phải còn nguyên hộp, bao bì, phiếu bảo hành, tem, mác, phụ kiện và quà tặng kèm (nếu có).', 'Đặc biệt, trong trường hợp bạn đổi ý hoặc sản phẩm bị giao sai: Sản phẩm phải chưa qua sử dụng, chưa kích hoạt, còn nguyên bao bì, nhãn mác, niêm phong (nếu có), và sản phẩm không mua bằng hình thức trả góp.']}], 'cta': {'link': 'https://hotro.tiki.vn/s/article/chinh-sach-doi-tra-san-pham', 'text_button': 'Tìm hiểu thêm'}, 'title': 'Đổi trả miễn phí'}"
26114399,6851692325469,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",simple,"Sai lầm lớn nhất của chúng ta là đem những tật xấu, những cảm xúc tiêu cực trút bỏ lên những người xung quanh, càng là người thân càng dễ gây thương tổn.Cái gì cũng nói toạc ra, cái gì cũng bộc lộ hế...",56070,32930,37,4.8,7208,(7208),0,available,instock,False,1760,74603,"{'id': 1, 'sku': '9653795675482', 'name': 'Tiki Trading', 'link': 'https://tiki.vn/cua-hang/tiki-trading', 'logo': '21/ce/5c/b52d0b8576680dc3666474ae31b091ec.jpg', 'price': 56070, 'product_id': '26114400', 'store_id': 40395, 'is_best_store': False, 'is_offline_installment_supported': None}","{'sub_title': 'Giá từ 71.000 ₫', 'title': 'So sánh 15 nhà bán khác'}","{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 5000+', 'value': 74603}","{'id': 316, 'name': 'Sách tiếng Việt', 'is_leaf': False}",False,False,"{'body': [{'label': 'Trong 30 ngày khi bạn đổi ý hoặc sản phẩm không đúng cam kết:', 'content': ['Sản phẩm phải còn nguyên hộp, bao bì, phiếu bảo hành, tem, mác, phụ kiện và quà tặng kèm (nếu có).', 'Đặc biệt, trong trường hợp bạn đổi ý hoặc sản phẩm bị giao sai: Sản phẩm phải chưa qua sử dụng, chưa kích hoạt, còn nguyên bao bì, nhãn mác, niêm phong (nếu có), và sản phẩm không mua bằng hình thức trả góp.']}], 'cta': {'link': 'https://hotro.tiki.vn/s/article/chinh-sach-doi-tra-san-pham', 'text_button': 'Tìm hiểu thêm'}, 'title': 'Đổi trả miễn phí'}"
109017985,8741635599269,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",simple,"NẾU MỘT NGÀY ANH THẤY TÔI ĐIÊN, THỰC RA CHÍNH LÀ ANH ĐIÊN ĐẤY!Hỡi những con người đang oằn mình trong cuộc sống, bạn biết gì về thế giới của mình? Là vô vàn thứ lý thuyết được các bậc vĩ nhân kiểm ch...",112770,66230,37,4.8,5431,(5431),0,available,instock,False,1074,25958,"{'id': 1, 'sku': '7255202170163', 'name': 'Tiki Trading', 'link': 'https://tiki.vn/cua-hang/tiki-trading', 'logo': '21/ce/5c/b52d0b8576680dc3666474ae31b091ec.jpg', 'price': 112770, 'product_id': '109017987', 'store_id': 40395, 'is_best_store': False, 'is_offline_installment_supported': None}","{'sub_title': 'Giá từ 143.000 ₫', 'title': 'So sánh 8 nhà bán khác'}","{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 5000+', 'value': 25958}","{'id': 67999, 'name': 'Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài', 'is_leaf': True}",False,False,"{'body': [{'label': 'Trong 30 ngày khi bạn đổi ý hoặc sản phẩm không đúng cam kết:', 'content': ['Sản phẩm phải còn nguyên hộp, bao bì, phiếu bảo hành, tem, mác, phụ kiện và quà tặng kèm (nếu có).', 'Đặc biệt, trong trường hợp bạn đổi ý hoặc sản phẩm bị giao sai: Sản phẩm phải chưa qua sử dụng, chưa kích hoạt, còn nguyên bao bì, nhãn mác, niêm phong (nếu có), và sản phẩm không mua bằng hình thức trả góp.']}], 'cta': {'link': 'https://hotro.tiki.vn/s/article/chinh-sach-doi-tra-san-pham', 'text_button': 'Tìm hiểu thêm'}, 'title': 'Đổi trả miễn phí'}"
